            main_id            |plx_value|     rvz_redshift     |teff 
"2QZ J131606.9-001151"         |1.5493   |-2.5127561960469613E-4|15246
"2QZ J131606.9-001151"         |1.5493   |-2.5127561960469613E-4|16201
"2QZ J131643.0-012822"         |5.8912   |-3.0E-4               |12756
"2QZ J131643.0-012822"         |5.8912   |-3.0E-4               |13173
"2QZ J131643.0-012822"         |5.8912   |-3.0E-4               |13949
"2QZ J131731.0+014314"         |1.3301   |-2.7E-4               |15725
"2QZ J131731.0+014314"         |1.3301   |-2.7E-4               |16206
"2QZ J134230.1-015933"         |5.0143   |-5.0E-5               |11273
"2QZ J134230.1-015933"         |5.0143   |-5.0E-5               |11302
"2QZ J134230.1-015933"         |5.0143   |-5.0E-5               |11323
"2QZ J134230.1-015933"         |5.0143   |-5.0E-5               |11370
"2QZ J134230.1-015933"         |5.0143   |-5.0E-5               |11555
"2QZ J134236.5+004742"         |2.7408   |-3.0E-5               |15126
"2QZ J134236.5+004742"         |2.7408   |-3.0E-5               |15231
"2QZ J134236.5+004742"         |2.7408   |-3.0E-5               |15422
"2QZ J134236.5+004742"         |2.7408   |-3.0E-5               |16020
"2QZ J134524.9-023714"         |1.0681   |-6.3E-4               |37278
"2QZ J134524.9-023714"         |1.0681   |-6.3E-4               |38591
"2QZ J134630.0-014054"         |2.3632   |-1.4E-4               |24163
"2QZ J134630.0-014054"         |2.3632   |-1.4E-4               |25037
"2QZ J134630.0-014054"         |2.3632   |-1.4E-4               |25571
"2QZ J134630.0-014054"         |2.3632   |-1.4E-4               |25891
"2QZ J134630.0-014054"         |2.3632   |-1.4E-4               |26240
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|11835
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|14560
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|14677
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|14916
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|14990
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|15022
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|15422
"2QZ J135539.8-011406"         |3.136    |-1.5452830580675592E-4|15575
"2QZ J135610.3-002231"         |2.047    |-5.8E-4               |17033
"2QZ J135610.3-002231"         |2.047    |-5.8E-4               |17898
"2QZ J135610.3-002231"         |2.047    |-5.8E-4               |18947
"2QZ J135653.3-015353"         |1.0787   |-1.0E-4               |21061
"2QZ J135653.3-015353"         |1.0787   |-1.0E-4               |21594
"2QZ J135653.3-015353"         |1.0787   |-1.0E-4               |23613
"2QZ J135832.1-014520"         |1.5615   |-9.0E-5               |14942
"2QZ J135832.1-014520"         |1.5615   |-9.0E-5               |15380
"2QZ J140052.4-015859"         |3.2056   |-9.0E-5               |12186
"2QZ J140052.4-015859"         |3.2056   |-9.0E-5               |13408
"2QZ J140052.4-015859"         |3.2056   |-9.0E-5               |13744
"2QZ J140814.6+003838"         |1.5598   |-8.0E-5               |25314
"2QZ J140814.6+003838"         |1.5598   |-8.0E-5               |25953
"2QZ J140910.8-020402"         |4.0318   |-3.0E-5               |11110
"2QZ J140910.8-020402"         |4.0318   |-3.0E-5               |11429
"2QZ J140910.8-020402"         |4.0318   |-3.0E-5               |11699
"2QZ J140910.8-020402"         |4.0318   |-3.0E-5               |11806
"2QZ J140910.8-020402"         |4.0318   |-3.0E-5               |12339
"2QZ J141057.7-020237"         |1.5212   |-3.6E-4               |29947
"2QZ J141057.7-020237"         |1.5212   |-3.6E-4               |30089
